record_type,model_time,forecast_time_hkt,temperature_c,weather_icon,daily_min_c,daily_max_c,last_modified,source
hourly,2026091100,2026-09-18T22:00:00+08:00,28.5,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T23:00:00+08:00,28.1,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T00:00:00+08:00,28.0,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T01:00:00+08:00,27.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T02:00:00+08:00,27.8,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T03:00:00+08:00,27.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T04:00:00+08:00,27.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T05:00:00+08:00,27.2,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T06:00:00+08:00,27.2,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T07:00:00+08:00,27.5,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T08:00:00+08:00,28.0,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T09:00:00+08:00,28.5,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T10:00:00+08:00,29.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T11:00:00+08:00,30.0,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T12:00:00+08:00,30.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T13:00:00+08:00,31.0,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T14:00:00+08:00,31.3,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T15:00:00+08:00,31.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T16:00:00+08:00,31.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T17:00:00+08:00,30.7,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T18:00:00+08:00,29.8,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T19:00:00+08:00,29.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T20:00:00+08:00,28.8,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T21:00:00+08:00,28.7,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T22:00:00+08:00,28.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-19T23:00:00+08:00,28.2,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T00:00:00+08:00,28.0,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T01:00:00+08:00,27.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T02:00:00+08:00,27.8,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T03:00:00+08:00,27.5,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T04:00:00+08:00,27.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T05:00:00+08:00,27.1,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T06:00:00+08:00,27.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T07:00:00+08:00,27.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T08:00:00+08:00,27.9,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T09:00:00+08:00,28.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T10:00:00+08:00,29.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T11:00:00+08:00,29.8,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T12:00:00+08:00,30.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T13:00:00+08:00,30.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T14:00:00+08:00,31.2,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T15:00:00+08:00,31.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T16:00:00+08:00,31.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T17:00:00+08:00,30.9,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T18:00:00+08:00,30.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T19:00:00+08:00,29.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T20:00:00+08:00,29.0,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T21:00:00+08:00,28.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T22:00:00+08:00,28.7,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-20T23:00:00+08:00,28.3,72,,,20260912041150,HKO.xml
